Date,Price,Open,High,Low,Vol.,Change %
02/02/2015,3.49,3.52,3.57,3.48,11100000.0,-0.0029
02/02/2015,29882.28,29562.07,29884.28,29562.07,,0.0108
02/02/2015,34.4,34.4,34.4,34.4,525450.0,0.0118
03/02/2015,30018.35,29882.28,30300.75,29771.53,,0.0046
03/02/2015,116.8,119.99,119.2,115.24,904750.0,-0.0200999999999999
03/02/2015,129.96,133.88,133.88,128.0,42060.0,0.0005
03/02/2015,34.08,34.08,34.08,34.08,341100.0,-0.0093
03/02/2015,805.0,805.0,805.0,805.0,130000.0,0.0012
03/02/2015,0.79,0.79,0.79,0.79,4120000.0,0.0395
03/02/2015,16.8,16.15,16.8,16.15,29220000.0,0.05
03/02/2015,157.0,159.29,161.12,157.0,3080000.0,-0.0044
03/02/2015,3.5,3.5,3.5,3.47,10960000.0,0.0029
03/02/2015,45.13,45.45,45.45,43.8,83620.0,-0.021
04/02/2015,0.8,0.82,0.8,0.8,375240.0,0.0127
04/02/2015,162.0,158.75,162.94,158.7,1000000.0,0.0318
04/02/2015,43.1,44.1,44.9,43.06,88350.0,-0.045
04/02/2015,118.8,121.59,120.08,116.08,1110000.0,0.0171
04/02/2015,128.46,128.32,128.46,128.32,92360.0,-0.0115
04/02/2015,35.7,34.7,35.7,34.7,1220000.0,0.0475
04/02/2015,18.11,17.55,18.27,17.29,27360000.0,0.078
04/02/2015,30617.96,30018.35,30668.44,30002.86,,0.02
04/02/2015,805.0,805.0,0.0,0.0,96440.0,0.0
04/02/2015,3.67,3.5,3.67,3.5,44960000.0,0.0486
05/02/2015,36.2,36.2,36.2,35.01,59210.0,0.0139999999999999
05/02/2015,115.2,115.33,115.61,114.89,798980.0,-0.0302999999999999
05/02/2015,128.99,130.0,129.0,128.0,140750.0,0.0040999999999999
05/02/2015,43.33,44.0,44.48,43.0,60930.0,0.0053
05/02/2015,3.5,3.7,3.7,3.5,13500000.0,-0.0463
05/02/2015,159.0,159.0,159.0,159.0,226200.0,-0.0185
05/02/2015,0.84,0.81,0.84,0.81,1160000.0,0.05
05/02/2015,17.49,18.41,18.21,17.49,17400000.0,-0.0342
05/02/2015,830.0,829.97,830.0,815.0,37890.0,0.0311
05/02/2015,30200.97,30617.96,30682.77,30151.34,,-0.0136
06/02/2015,3.42,3.6,3.7,3.42,18640000.0,-0.0229
06/02/2015,29985.08,30200.97,30264.86,29968.74,,-0.0070999999999999
06/02/2015,42.65,42.65,42.65,42.65,151680.0,-0.0157
06/02/2015,159.8,160.0,160.01,159.8,206010.0,0.005
06/02/2015,128.9,124.08,128.9,124.08,19470.0,-0.0007
06/02/2015,113.45,116.76,118.4,113.45,8330000.0,-0.0152
06/02/2015,35.0,35.7,35.7,35.0,3370000.0,-0.0331
06/02/2015,16.1,16.62,16.99,16.01,39180000.0,-0.0795
06/02/2015,815.25,805.0,845.25,803.0,2470.0,-0.0178
06/02/2015,0.81,0.81,0.81,0.81,152340.0,-0.0356999999999999
09/02/2015,107.78,112.8,112.8,107.78,4030000.000000001,-0.05
09/02/2015,125.0,130.0,125.0,125.0,115580.0,-0.0302999999999999
09/02/2015,3.25,3.39,3.4,3.25,17000000.0,-0.0496999999999999
09/02/2015,16.0,16.06,16.07,15.87,30640000.0,-0.0062
09/02/2015,0.8,0.82,0.85,0.8,3370000.0,-0.0123
09/02/2015,764.75,799.5,799.5,764.75,3160000.0,-0.0619
09/02/2015,29360.55,29985.08,30055.86,29357.02,,-0.0208
09/02/2015,33.26,33.3,33.8,33.25,281910.0,-0.0496999999999999
09/02/2015,157.11,158.01,158.97,157.11,198550.0,-0.0168
09/02/2015,40.52,40.52,42.65,40.52,120840.0,-0.0499
10/02/2015,764.75,764.75,764.75,764.75,122570.0,0.0
10/02/2015,3.18,3.3,3.25,3.14,18290000.0,-0.0215
10/02/2015,29125.69,29360.55,29368.17,28965.68,,-0.008
10/02/2015,0.8,0.84,0.84,0.79,7310000.0,0.0
10/02/2015,124.1,125.0,125.0,120.72,18540.0,-0.0072
10/02/2015,33.25,34.5,34.5,33.25,69770.0,-0.0003
10/02/2015,40.52,42.45,42.45,40.52,125260.0,0.0
10/02/2015,105.6,105.81,106.4,102.62,9840000.0,-0.0202
10/02/2015,16.0,16.0,16.04,16.0,11280000.0,0.0
10/02/2015,156.99,157.0,157.0,156.0,877400.0,-0.0008
11/02/2015,33.25,34.36,34.36,33.25,60990.0,0.0
11/02/2015,3.03,3.16,3.19,3.03,21030000.0,-0.0472
11/02/2015,105.44,105.6,105.6,104.8,22440000.0,-0.0015
11/02/2015,152.0,155.0,155.0,150.5,744060.0,-0.0318
11/02/2015,44.4,44.4,44.4,44.4,2020000.0,0.0958
11/02/2015,0.8,0.84,0.84,0.8,3970000.0,0.0
11/02/2015,120.8,123.0,123.25,120.71,50820.0,-0.0266
11/02/2015,28721.27,29125.69,29127.44,28630.97,,-0.0139
11/02/2015,764.75,764.75,764.76,764.75,1590000.0,0.0
11/02/2015,15.94,16.02,16.02,15.6,42820000.0,-0.0038
12/02/2015,0.76,0.77,0.77,0.76,7410000.0,-0.05
12/02/2015,42.25,42.2,43.0,42.2,13580.0,-0.0484
12/02/2015,120.0,118.78,120.0,118.78,181630.0,-0.0066
12/02/2015,15.69,15.9,15.9,15.42,72150000.0,-0.0157
12/02/2015,145.0,150.67,150.67,145.0,812040.0,-0.0461
12/02/2015,33.25,34.39,34.39,33.25,5410.0,0.0
12/02/2015,746.25,764.8,764.8,746.25,238840.0,-0.0242
12/02/2015,2.99,3.01,3.01,2.9,14080000.0,-0.0132
12/02/2015,103.21,105.6,105.61,103.2,4590000.0,-0.0210999999999999
12/02/2015,27917.9,28721.27,28721.27,27905.55,,-0.0279999999999999
13/02/2015,141.9,140.1,145.0,139.1,5700000.0,-0.0214
13/02/2015,751.0,746.25,779.85,733.2,56750.0,0.0064
13/02/2015,0.75,0.74,0.75,0.74,4580000.0,-0.0132
13/02/2015,114.0,114.5,114.5,114.0,270090.0,-0.05
13/02/2015,27585.26,27935.77,28038.5,27395.73,,-0.0118999999999999
13/02/2015,34.01,33.25,34.01,33.25,3710000.0,0.0229
13/02/2015,42.18,44.35,44.35,42.18,56350.0,-0.0017
13/02/2015,15.62,15.99,16.1,15.49,32410000.0,-0.0045
13/02/2015,3.0,3.0,3.01,2.97,14150000.0,0.0033
13/02/2015,103.2,107.77,107.77,103.2,15820000.0,-0.0001
16/02/2015,44.4,42.18,0.0,0.0,25420.0,0.0526
16/02/2015,32.35,33.27,33.28,32.34,108530.0,-0.0487999999999999
16/02/2015,143.99,142.45,143.99,140.0,3490000.0,0.0147
16/02/2015,753.5,743.0,753.5,743.0,208510.0,0.0033
16/02/2015,102.4,102.58,104.02,98.04,1800000.0,-0.0078
16/02/2015,2.99,3.01,3.02,2.94,25900000.0,-0.0033
16/02/2015,16.15,15.82,16.15,15.82,11890000.0,0.0339
16/02/2015,113.4,114.99,114.99,113.4,92950.0,-0.0053
16/02/2015,27728.63,27585.26,27730.63,27423.51,,0.0052
16/02/2015,0.72,0.73,0.73,0.72,2890000.0,-0.04
17/02/2015,0.74,0.72,0.75,0.72,2850000.0,0.0278
17/02/2015,791.17,790.0,791.17,790.0,233660.0,0.05
17/02/2015,42.18,42.18,42.18,42.18,75040.0,-0.05
17/02/2015,32.55,32.34,34.8,32.34,306300.0,0.0062
17/02/2015,104.0,104.0,107.49,103.22,3080000.0,0.0156
17/02/2015,149.2,148.0,149.2,148.0,178920.0,0.0362
17/02/2015,17.02,16.21,17.02,16.2,11670000.0,0.0538999999999999
17/02/2015,119.07,110.0,119.07,110.0,577790.0,0.05
17/02/2015,3.01,2.96,3.13,2.96,85170000.0,0.0067
17/02/2015,28452.6,27728.63,28575.12,27680.14,,0.0260999999999999
18/02/2015,40.11,40.11,40.11,40.11,186830.0,-0.0491
18/02/2015,124.7,124.49,124.95,119.0,325150.0,0.0473
18/02/2015,105.9,107.2,106.24,105.15,2040000.0,0.0183
18/02/2015,17.6,17.87,18.18,17.4,16410000.0,0.0341
18/02/2015,155.0,155.99,156.0,152.05,2470000.0,0.0389
18/02/2015,3.17,3.15,3.3,3.1,59630000.0,0.0532
18/02/2015,817.0,819.99,828.0,791.5,32210.0,0.0326
18/02/2015,29177.58,28452.6,29227.81,28452.6,,0.0255
18/02/2015,33.0,33.0,33.0,33.0,612920.0,0.0138
18/02/2015,0.74,0.77,0.75,0.74,2580000.0,0.0
19/02/2015,29282.04,29177.58,29426.16,29074.94,,0.0036
19/02/2015,107.08,105.6,107.2,105.6,8960000.0,0.0111
19/02/2015,3.15,3.17,3.22,3.11,23770000.0,-0.0063
19/02/2015,17.2,17.07,17.69,16.25,26470000.0,-0.0227
19/02/2015,34.0,33.5,34.0,33.5,448030.0,0.0302999999999999
19/02/2015,0.71,0.74,0.75,0.71,1020000.0,-0.0405
19/02/2015,153.2,154.99,154.99,153.2,879890.0,-0.0116
19/02/2015,38.08,40.08,38.08,38.08,126730.0,-0.0506
19/02/2015,819.99,819.99,819.99,819.99,97450.0,0.0037
19/02/2015,123.28,123.0,123.28,123.0,140290.0,-0.0113999999999999
20/02/2015,107.76,107.2,107.78,107.2,7470000.0,0.0064
20/02/2015,3.41,3.25,3.41,3.13,47210000.0,0.0825
20/02/2015,17.37,16.55,17.37,17.11,5390000.0,0.0098999999999999
20/02/2015,32.56,32.56,32.56,32.56,103070.0,-0.0424
20/02/2015,38.08,39.98,0.0,0.0,207840.0,0.0
20/02/2015,820.0,820.0,820.0,820.0,3160000.0,0.0
20/02/2015,29383.93,29282.04,29460.45,29036.52,,0.0034999999999999
20/02/2015,120.55,123.0,123.5,120.0,56320.0,-0.0220999999999999
20/02/2015,152.2,151.15,154.01,151.15,3440000.0,-0.0065
20/02/2015,0.74,0.74,0.74,0.71,1140000.0,0.0423
23/02/2015,124.9,123.2,124.99,123.2,301330.0,0.0361
23/02/2015,38.08,39.98,0.0,0.0,115770.0,0.0
23/02/2015,153.1,155.0,154.87,153.1,360740.0,0.0059
23/02/2015,29793.13,29383.93,29854.38,29383.93,,0.0139
23/02/2015,18.23,17.99,18.23,17.99,9740000.0,0.0495
23/02/2015,111.2,110.3,111.2,105.96,1140000.0,0.0319
23/02/2015,3.6,3.58,3.62,3.48,42570000.0,0.0557
23/02/2015,32.56,34.18,0.0,0.0,173280.0,0.0
23/02/2015,820.0,833.9,0.0,0.0,40450.0,0.0
23/02/2015,0.74,0.77,0.74,0.74,522160.0,0.0
24/02/2015,18.75,18.35,19.0,18.41,18660000.0,0.0285
24/02/2015,0.74,0.72,0.74,0.72,1130000.0,0.0
24/02/2015,154.0,154.0,154.0,153.99,337520.0,0.0059
24/02/2015,125.49,124.98,126.0,124.98,400680.0,0.0046999999999999
